icao24,callsign,country,timePosition,lastContact,longitude,latitude,baroAltitude,onGround,velocity,heading,verticalRate,_,geoAltitude,transponderCode,spi,positionSource
"495299","TAP91MF ","Portugal",1682183915,1682183915,-3.0817,40.0946,10668,false,208.34,263.05,0.33,null,10835.64,null,false,0
"aa9e90","VXP112  ","United States",1682183916,1682183916,-121.2321,37.9594,11277.6,false,253.57,163.26,0,null,11521.44,"1656",false,0
"a1ac1a","CMB371  ","United States",1682183916,1682183916,-71.1261,23.0048,10972.8,false,219.75,225.95,0,null,11407.14,null,false,0
"400960","BAW469  ","United Kingdom",1682183916,1682183916,1.3658,50.4959,8953.5,false,221.91,314.44,-6.5,null,8869.68,"2754",false,0
"0d0bac","AMX517  ","Mexico",1682183912,1682183915,-99.2822,19.6314,4351.02,false,153.22,193.99,-6.5,null,4602.48,null,false,0
"a677fc","N516CS  ","United States",1682183902,1682183916,-112.1337,40.7334,1828.8,false,56.39,313.89,0.98,null,1851.66,null,false,0
"a47fc7","N3895G  ","United States",1682183916,1682183916,-98.2913,30.0167,1066.8,false,54.54,154.89,-0.98,null,1059.18,null,false,0
"4bb2aa","THY9JL  ","Turkey",1682183896,1682183915,29.2432,40.8743,373.38,false,58.46,65.01,-3.25,null,419.1,null,false,0
"a77de9","LXJ582  ","United States",1682183916,1682183916,-82.7106,26.846,10363.2,false,213.44,341.74,0,null,10713.72,null,false,0
"a41f37","DAL784  ","United States",1682183916,1682183916,-114.9201,35.7951,3345.18,false,126.07,219.54,-5.2,null,3429,"5367",false,0
"a0434a","CXK668  ","United States",1682183895,1682183900,-111.7198,40.2203,null,true,0,191.25,null,null,null,null,false,0
"0d0bc8","XACIC   ","Mexico",1682183915,1682183915,-98.3138,19.138,2354.58,false,61.74,293.57,1.3,null,2446.02,null,false,0
"a6b4c3","GJS4168 ","United States",1682183839,1682183839,-74.1741,40.6872,null,true,5.92,320.62,null,null,null,"4143",false,0
"c02104","CFMNB   ","Canada",1682183916,1682183916,-122.3487,48.9985,281.94,false,48.55,205.75,-0.98,null,327.66,null,false,0
"a0301d","N111CA  ","United States",1682183916,1682183916,-97.7224,30.0941,3352.8,false,138.28,205.8,-6.5,null,3429,"1540",false,0
"aa922b","SWA909  ","United States",1682183772,1682183772,-112.0025,33.4342,null,true,0.51,90,null,null,null,null,false,0
"aa9e6d","SWA2806 ","United States",1682183916,1682183916,-117.3406,34.1135,4465.32,false,175.05,251.67,-10.73,null,4632.96,"5626",false,0
"0d0bbb","VIV5026 ","Mexico",1682183916,1682183916,-114.462,31.149,11887.2,false,242.13,123.83,0,null,12245.34,null,false,0
"a366b6","N318YG  ","United States",1682183915,1682183916,-121.4122,35.9809,8839.2,false,176.54,137.01,0,null,9090.66,"3763",false,0
"ae2691","C6559   ","United States",1682183893,1682183913,-118.3372,33.7214,45.72,false,40.17,279.58,0,null,7.62,null,false,0
"4bb2ae","THY4EY  ","Turkey",1682183916,1682183916,31.1692,40.2729,7924.8,false,196.22,277.68,0,null,7978.14,null,false,0
"ab88b6","EJA842  ","United States",1682183915,1682183916,-81.0081,27.1404,9273.54,false,224.52,322.45,10.4,null,9593.58,null,false,0
"a0a668","N141AA  ","United States",1682183915,1682183916,-85.3369,32.7074,1242.06,false,50.6,47.06,0.65,null,1242.06,null,false,0
"aa8b40","JBU131  ","United States",1682183915,1682183916,-115.3646,34.1123,10370.82,false,212.18,280.9,0,null,10683.24,null,false,0
"a7cda7","N6012U  ","United States",1682183857,1682183910,-122.2178,47.5,null,true,0.06,28.12,null,null,null,null,false,0
"495275","TAP1546 ","Portugal",1682183916,1682183916,-9.3566,38.788,3139.44,false,161.9,30.56,-9.1,null,3246.12,"6266",false,0
"a113cf","N169HC  ","United States",1682183856,1682183857,-80.1927,25.9978,243.84,false,49.9,270,-1.3,null,190.5,null,false,0
"a5d115","N474MM  ","United States",1682183916,1682183916,-120.4125,35.7241,3009.9,false,77.19,303.58,0,null,3086.1,null,false,0
"a09cfe","DAL1480 ","United States",1682183916,1682183916,-75.9915,40.8601,4907.28,false,190.19,107.8,-8.13,null,4930.14,"3172",false,0
"a31961","UAL66   ","United States",1682183652,1682183652,-108.7541,42.5901,12184.38,false,237.22,253.88,0,null,12153.9,"1375",false,0
"a499c3","HAL19   ","United States",1682183915,1682183916,-124.9465,37.3349,12192,false,224.39,241.97,0,null,12489.18,"3727",false,0
